,sq_area,furinture,Price_in_rupees,BHK_,House_Type,Location,Locality,No_of_Bathrooms,Facing
497,1136,Semi-Furnished,46000,3,Apartment, Hyderabad,Hitech City,3,West facing
498,1100,Semi-Furnished,39000,2,Apartment, Hyderabad,Kondapur,2,East facing
499,1600,Furnished,49000,3,Apartment, Hyderabad,Madhapur,3,East facing
500,1345,Semi-Furnished,29000,2,Apartment, Hyderabad,Pragathi Nagar Kukatpally,2,East facing
501,1050,Semi-Furnished,37000,2,Independent Floor, Hyderabad,Banjara Hills,2,East facing
502,2000,Semi-Furnished,71000,3,Apartment, Hyderabad,Hitech City,3,East facing
503,4700,Semi-Furnished,179000,4,Apartment, Hyderabad,Nanakramguda,4,North facing
504,2000,Semi-Furnished,62000,4,Apartment, Hyderabad,Gachibowli,3,East facing
505,2522,Semi-Furnished,119000,4,Apartment, Hyderabad,Gachibowli,4,West facing
506,1000,Semi-Furnished,37000,2,Apartment, Hyderabad,Nallagandla Gachibowli,2,West facing
507,1295,Semi-Furnished,37000,2,Apartment, Hyderabad,Kukatpally,2,East facing
508,1410,Semi-Furnished,44000,3,Apartment, Hyderabad,Gachibowli,2,East facing
509,1100,Furnished,47000,2,Apartment, Hyderabad,Kukatpally,2,West facing
510,1700,Semi-Furnished,60000,3,Apartment, Hyderabad,Gachibowli,2,West facing
511,3300,Semi-Furnished,44000,4,Villa, Hyderabad,Shanthi Nagar,4,North facing
512,1100,Semi-Furnished,32000,2,Apartment, Hyderabad,Rajendra Nagar,2,West facing
513,2000,Semi-Furnished,86000,3,Apartment, Hyderabad,Madhapur,3,East facing
514,1500,Semi-Furnished,26000,3,Apartment, Hyderabad,Amberpet,3,East facing
515,4000,Unfurnished,49000,4,Apartment, Hyderabad,Osman Nagar,4,East facing
516,1600,Semi-Furnished,39000,3,Apartment, Hyderabad,Kukatpally,3,West facing
517,1784,Furnished,29000,3,Apartment, Hyderabad,Tellapur,3,East facing
518,1500,Furnished,41000,3,Apartment, Hyderabad,Kukatpally,3,NorthEast facing
519,1000,Semi-Furnished,24000,2,Apartment, Hyderabad,Bachupally,2,NorthEast facing
520,2000,Semi-Furnished,71000,3,Apartment, Hyderabad,Hitech City,3,East facing
521,3300,Semi-Furnished,44000,4,Villa, Hyderabad,Shanthi Nagar,4,North facing
522,1100,Semi-Furnished,32000,2,Apartment, Hyderabad,Rajendra Nagar,2,West facing
523,2000,Semi-Furnished,86000,3,Apartment, Hyderabad,Madhapur,3,East facing
524,1136,Semi-Furnished,46000,3,Apartment, Hyderabad,Hitech City,3,West facing
525,1410,Semi-Furnished,44000,3,Apartment, Hyderabad,Gachibowli,2,East facing
526,1100,Furnished,47000,2,Apartment, Hyderabad,Kukatpally,2,West facing
527,1000,Semi-Furnished,37000,2,Apartment, Hyderabad,Nallagandla Gachibowli,2,West facing
528,2200,Semi-Furnished,45000,3,Apartment, Hyderabad,Tellapur,3,East facing
529,2600,Furnished,119000,3,Apartment, Hyderabad,Hitech City,3,West facing
530,2700,Semi-Furnished,29000,3,Villa, Hyderabad,Nizampet,3,West facing
531,1116,Semi-Furnished,47000,3,Apartment, Hyderabad,Hitech City,3,East facing
532,1798,Semi-Furnished,50000,3,Apartment, Hyderabad,Kondapur,3,East facing
533,1600,Semi-Furnished,35000,3,Independent Floor, Hyderabad,Kondapur,3,North facing
534,1366,Semi-Furnished,65000,4,Apartment, Hyderabad,Gachibowli,3,East facing
535,3000,Semi-Furnished,42000,4,Independent House, Hyderabad,Mallampet,4,East facing
536,1945,Furnished,62009,3,Apartment, Hyderabad,Gachibowli,3,North facing
537,1650,Semi-Furnished,44000,3,Apartment, Hyderabad,Hitech City,3,East facing
538,2100,Semi-Furnished,56000,3,Apartment, Hyderabad,Manikonda,3,East facing
539,1800,Semi-Furnished,39000,2,Apartment, Hyderabad,Kondapur,2,East facing
540,1298,Semi-Furnished,31000,2,Apartment, Hyderabad,Saroor Nagar,2,North facing
541,1798,Semi-Furnished,52000,3,Independent Floor, Hyderabad,Kondapur,3,East facing
542,854,Semi-Furnished,37000,2,Apartment, Hyderabad,Hitech City,2,East facing
543,1945,Furnished,60000,3,Apartment, Hyderabad,Gachibowli,3,North facing
544,1265,Semi-Furnished,28000,2,Apartment, Hyderabad,Chandanagar,2,West facing
545,1366,Semi-Furnished,65000,4,Apartment, Hyderabad,Gachibowli,3,East facing
546,2970,Semi-Furnished,45000,3,Apartment, Hyderabad,Tellapur,3,East facing
547,2100,Semi-Furnished,55000,3,Apartment, Hyderabad,Manikonda,3,East facing
548,2400,Semi-Furnished,32000,3,Apartment, Hyderabad,Tellapur,3,East facing
549,1798,Semi-Furnished,50000,3,Apartment, Hyderabad,Kondapur,3,East facing
550,1600,Semi-Furnished,35000,3,Apartment, Hyderabad,Kondapur,3,
551,1800,Semi-Furnished,49000,3,Apartment, Hyderabad,Kukatpally,3,East facing
552,1650,Semi-Furnished,45000,3,Apartment, Hyderabad,Kondapur,3,East facing
553,1650,Semi-Furnished,45000,3,Apartment, Hyderabad,Hitech City,3,East facing
554,1850,Semi-Furnished,65000,3,Apartment, Hyderabad,Kukatpally,3,East facing
555,1800,Semi-Furnished,45000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
556,1798,Semi-Furnished,54000,3,Apartment, Hyderabad,Kondapur,3,NorthEast facing
557,3000,Semi-Furnished,42000,4,Apartment, Hyderabad,Mallampet,4,East facing
558,1945,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,East facing
559,1558,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,East facing
560,1558,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,East facing
561,1380,Semi-Furnished,27000,2,Apartment, Hyderabad,Miyapur,2,East facing
562,1000,Semi-Furnished,23000,2,Apartment, Hyderabad,Kukatpally,2,West facing
563,2140,Furnished,65000,4,Independent House, Hyderabad,Manikonda,4,West facing
564,1283,Unfurnished,31000,2,Apartment, Hyderabad,Gachibowli,2,East facing
565,1500,Semi-Furnished,63000,3,Apartment, Hyderabad,Gachibowli,3,East facing
566,3600,Furnished,70000,4,Apartment, Hyderabad,Narsingi,4,East facing
567,600,Furnished,17000,1,Apartment, Hyderabad,Gowlidody,1,NorthEast facing
568,3500,Semi-Furnished,48000,4,Apartment, Hyderabad,Nizampet,4,East facing
569,2160,Furnished,65000,3,Apartment, Hyderabad,Kokapet,3,East facing
570,1116,Semi-Furnished,47000,3,Apartment, Hyderabad,Hitech City,3,West facing
571,2360,Semi-Furnished,70000,3,Apartment, Hyderabad,Nanakramguda,3,NorthEast facing
572,1350,Semi-Furnished,22000,3,Apartment, Hyderabad,Hyderguda,2,
573,1050,Semi-Furnished,18000,2,Apartment, Hyderabad,Lakdikapul,2,East facing
574,1417,Semi-Furnished,15600,1,Apartment, Hyderabad,Qutub Shahi Tombs,2,
575,1200,Semi-Furnished,12000,1,Studio Apartment, Hyderabad,Hastinapuram,2,
576,400,Semi-Furnished,10000,1,Apartment, Hyderabad,Meerpet,2,
577,1100,Unfurnished,20000,1,Apartment, Hyderabad,Upparpally,2,
578,200,Furnished,17300,1,Apartment, Hyderabad,Manikonda,1,
579,1000,Unfurnished,11000,1,Apartment, Hyderabad,Bandlaguda Jagir,2,
580,1100,Unfurnished,18700,1,Apartment, Hyderabad,Attapur,2,
581,1400,Semi-Furnished,20000,3,Apartment, Hyderabad,Khairatabad Road,2,North facing
582,1188,Semi-Furnished,64000,3,Apartment, Hyderabad,Hitech City,3,East facing
583,1800,Semi-Furnished,49000,3,Apartment, Hyderabad,Nallagandla Gachibowli,3,East facing
584,2500,Furnished,39000,4,Independent House, Hyderabad,Kokapet,5,
585,1050,Unfurnished,15000,2,Independent Floor, Hyderabad,Nampally,2,North facing
586,750,Unfurnished,10000,1,Independent Floor, Hyderabad,Masab Tank,1,
587,1800,Unfurnished,21000,2,Apartment, Hyderabad,Kanchan Bagh,2,
588,1315,Semi-Furnished,49000,3,Independent Floor, Hyderabad,Gachibowli,3,East facing
589,4200,Semi-Furnished,129000,4,Villa, Hyderabad,Narsingi,4,West facing
590,1297,Semi-Furnished,39000,2,Apartment, Hyderabad,Kondapur,2,West facing
591,1558,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,West facing
592,1798,Semi-Furnished,54000,3,Apartment, Hyderabad,Kondapur,3,East facing
593,1345,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,East facing
594,1257,Semi-Furnished,40000,2,Apartment, Hyderabad,Nallagandla Gachibowli,2,East facing
595,1265,Semi-Furnished,28000,2,Apartment, Hyderabad,Chandanagar,2,West facing
596,2970,Semi-Furnished,45000,3,Apartment, Hyderabad,Tellapur,3,NorthEast facing
597,1650,Semi-Furnished,45000,3,Apartment, Hyderabad,Kondapur,3,East facing
598,1798,Semi-Furnished,50000,3,Apartment, Hyderabad,Kondapur,3,East facing
599,1650,Semi-Furnished,45000,3,Apartment, Hyderabad,Hitech City,3,West facing
600,3300,Semi-Furnished,70000,4,Apartment, Hyderabad,Nanakramguda,4,East facing
601,2200,Semi-Furnished,50000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
602,1270,Semi-Furnished,35000,2,Apartment, Hyderabad,Gachibowli,2,East facing
603,2160,Furnished,55000,3,Apartment, Hyderabad,Kokapet,3,East facing
604,1738,Semi-Furnished,60000,3,Apartment, Hyderabad,Hitech City,3,East facing
605,1200,Semi-Furnished,30000,2,Apartment, Hyderabad,Bachupally,2,NorthEast facing
606,1600,Semi-Furnished,35000,3,Independent Floor, Hyderabad,Kondapur,3,North facing
607,3000,Semi-Furnished,42000,4,Apartment, Hyderabad,Mallampet,4,East facing
608,1993,Semi-Furnished,60000,4,Apartment, Hyderabad,Gachibowli,3,East facing
609,1150,Semi-Furnished,23000,2,Apartment, Hyderabad,Lakdikapul,2,North facing
610,1100,Unfurnished,18000,2,Apartment, Hyderabad,Vijaya Nagar Colony,2,
611,1350,Unfurnished,20000,3,Apartment, Hyderabad,Vijaya Nagar Colony,3,East facing
612,1206,Semi-Furnished,60000,3,Apartment, Hyderabad,Gachibowli,3,West facing
613,1700,Unfurnished,25000,3,Independent Floor, Hyderabad,Vijaya Nagar Colony,2,North facing
614,1050,Unfurnished,17000,2,Apartment, Hyderabad,Mehdipatnam,2,
615,1450,Semi-Furnished,29000,3,Independent Floor, Hyderabad,Banjara Hills,3,West facing
616,1283,Unfurnished,32000,2,Apartment, Hyderabad,Gachibowli,2,East facing
617,3400,Furnished,180000,3,Apartment, Hyderabad,Madhapur,3,West facing
618,750,Unfurnished,10000,2,Independent Floor, Hyderabad,Masab Tank,1,
619,900,Unfurnished,12000,2,Independent Floor, Hyderabad,Masab Tank,1,North facing
620,1750,Furnished,65000,3,Apartment, Hyderabad,Banjara Hills,3,
621,1750,Furnished,55000,3,Apartment, Hyderabad,Begumpet,3,
622,2200,Semi-Furnished,55000,3,Apartment, Hyderabad,Jubilee Hills,2,NorthWest facing
623,2500,Semi-Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
624,1350,Unfurnished,16700,3,Independent Floor, Hyderabad,Lakdikapul,2,North facing
625,2200,Semi-Furnished,45000,3,Apartment, Hyderabad,Tellapur,3,West facing
626,1435,Semi-Furnished,63000,3,Apartment, Hyderabad,Gachibowli,3,East facing
627,1798,Furnished,60000,3,Apartment, Hyderabad,Kondapur,3,West facing
628,1945,Semi-Furnished,68000,3,Apartment, Hyderabad,Hitech City,3,East facing
629,1650,Semi-Furnished,49000,3,Apartment, Hyderabad,Hitech City,3,East facing
630,1850,Semi-Furnished,50000,3,Apartment, Hyderabad,Nallagandla Gachibowli,3,East facing
631,1100,Semi-Furnished,38000,2,Apartment, Hyderabad,Nallagandla Gachibowli,2,West facing
632,1200,Furnished,48000,2,Apartment, Hyderabad,Kukatpally,2,West facing
633,1283,Unfurnished,32000,2,Apartment, Hyderabad,Gachibowli,2,East facing
634,1100,Semi-Furnished,45000,3,Apartment, Hyderabad,Gachibowli,2,East facing
635,1800,Semi-Furnished,45000,3,Apartment, Hyderabad,Kukatpally,3,East facing
636,878,Semi-Furnished,34000,2,Apartment, Hyderabad,Hitech City,2,East facing
637,1800,Semi-Furnished,38000,3,Apartment, Hyderabad,Kukatpally,3,East facing
638,1000,Semi-Furnished,37000,2,Apartment, Hyderabad,Chandanagar,2,West facing
639,1018,Semi-Furnished,47000,2,Apartment, Hyderabad,Gachibowli,2,West facing
640,1366,Semi-Furnished,69000,3,Apartment, Hyderabad,Gachibowli,3,East facing
641,1900,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,East facing
642,1100,Semi-Furnished,23000,2,Apartment, Hyderabad,Lakdikapul,2,North facing
643,1200,Semi-Furnished,20000,2,Apartment, Hyderabad,Himayat Nagar,2,East facing
644,2100,Semi-Furnished,55000,3,Apartment, Hyderabad,Manikonda,3,East facing
645,1945,Furnished,60000,3,Apartment, Hyderabad,Gachibowli,3,North facing
646,4500,Furnished,150000,4,Villa, Hyderabad,Gachibowli,4,
647,1800,Semi-Furnished,30000,3,Apartment, Hyderabad,Nallakunta,3,East facing
648,1945,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,East facing
649,1400,Semi-Furnished,25000,3,Apartment, Hyderabad,Toli Chowki,2,East facing
650,1200,Semi-Furnished,23000,2,Apartment, Hyderabad,Miyapur,2,East facing
651,1515,Semi-Furnished,37000,3,Apartment, Hyderabad,Kokapet,3,West facing
652,3000,Furnished,39000,2,Independent House, Hyderabad,Madhapur,2,East facing
653,1400,Semi-Furnished,27000,2,Apartment, Hyderabad,Bachupally,2,East facing
654,700,Semi-Furnished,14000,1,Apartment, Hyderabad,Kondapur,1,NorthEast facing
655,6000,Furnished,290000,6,Independent House, Hyderabad,Banjara Hills,6,
656,1950,Semi-Furnished,39000,3,Villa, Hyderabad,Hitech City,2,East facing
657,1345,Semi-Furnished,59000,3,Apartment, Hyderabad,Hitech City,3,East facing
658,3000,Semi-Furnished,44000,4,Apartment, Hyderabad,Tellapur,4,West facing
659,2000,Semi-Furnished,60000,3,Apartment, Hyderabad,Hitech City,3,East facing
660,900,Unfurnished,11000,2,Independent House, Hyderabad,Mehdipatnam,2,East facing
661,1350,Unfurnished,15000,3,Independent Floor, Hyderabad,Vijaya Nagar Colony,2,West facing
662,1275,Semi-Furnished,34000,2,Apartment, Hyderabad,Kukatpally,2,North facing
663,1600,Semi-Furnished,34000,3,Independent Floor, Hyderabad,Kondapur,3,North facing
664,1000,Semi-Furnished,34000,2,Apartment, Hyderabad,Hitech City,2,East facing
665,1600,Semi-Furnished,49000,3,Apartment, Hyderabad,Kondapur,3,East facing
666,1648,Furnished,49000,3,Apartment, Hyderabad,Kondapur,2,East facing
667,1650,Semi-Furnished,44000,3,Apartment, Hyderabad,Kondapur,3,East facing
668,1492,Semi-Furnished,47999,3,Apartment, Hyderabad,Gachibowli,2,West facing
669,1715,Semi-Furnished,54000,3,Apartment, Hyderabad,Kondapur,3,East facing
670,1715,Semi-Furnished,54000,3,Apartment, Hyderabad,Kondapur,3,East facing
671,2300,Semi-Furnished,51000,3,Apartment, Hyderabad,Kokapet,3,East facing
672,3600,Semi-Furnished,89000,4,Independent Floor, Hyderabad,Madhapur,4,North facing
673,1300,Unfurnished,13000,3,Apartment, Hyderabad,Kowkur,3,West facing
674,1250,Semi-Furnished,34000,2,Apartment, Hyderabad,Hitech City,2,East facing
675,2200,Furnished,54000,3,Apartment, Hyderabad,Kukatpally,2,East facing
676,4000,Semi-Furnished,79000,3,Independent Floor, Hyderabad,Kukatpally,3,East facing
677,1265,Semi-Furnished,28000,2,Apartment, Hyderabad,Chandanagar,2,West facing
678,1800,Semi-Furnished,45000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
679,1470,Semi-Furnished,45000,3,Apartment, Hyderabad,Gachibowli,2,NorthEast facing
680,2100,Semi-Furnished,45000,3,Apartment, Hyderabad,Kokapet,3,East facing
681,350,Unfurnished,5500,1,Studio Apartment, Hyderabad,Amberpet,1,North facing
682,4500,Semi-Furnished,75000,5,Villa, Hyderabad,Narsingi,4,West facing
683,720,Furnished,17000,1,Apartment, Hyderabad,Kondapur,1,NorthEast facing
684,1000,Unfurnished,8350,1,Studio Apartment, Hyderabad,Bolarum,1,
685,700,Semi-Furnished,14000,1,Apartment, Hyderabad,Malkajgiri,1,NorthEast facing
686,2000,Semi-Furnished,44000,3,Apartment, Hyderabad,Tellapur,3,East facing
687,1900,Semi-Furnished,44000,3,Apartment, Hyderabad,Tellapur,3,East facing
688,4000,Semi-Furnished,89000,3,Independent House, Hyderabad,Kukatpally,3,East facing
689,1530,Semi-Furnished,35000,3,Apartment, Hyderabad,Bachupally,3,East facing
690,3600,Semi-Furnished,80000,4,Apartment, Hyderabad,Narsingi,4,West facing
691,2600,Semi-Furnished,60000,3,Apartment, Hyderabad,Kokapet,3,East facing
692,2600,Semi-Furnished,55000,4,Apartment, Hyderabad,Tellapur,4,West facing
693,2600,Semi-Furnished,30000,4,Apartment, Hyderabad,Tellapur,4,East facing
694,700,Semi-Furnished,11500,1,Apartment, Hyderabad,Kondapur,1,NorthEast facing
695,710,Semi-Furnished,12000,1,Apartment, Hyderabad,Abids,1,NorthEast facing
696,1150,Semi-Furnished,18000,2,Apartment, Hyderabad,Malkajgiri,2,NorthEast facing
697,1800,Semi-Furnished,26000,3,Apartment, Hyderabad,Kondapur,3,NorthEast facing
698,1250,Semi-Furnished,18000,2,Apartment, Hyderabad,Kondapur,2,NorthEast facing
699,1650,Semi-Furnished,55000,3,Apartment, Hyderabad,Manikonda,3,NorthEast facing
700,1700,Semi-Furnished,44000,3,Independent Floor, Hyderabad,Kukatpally,3,East facing
701,2200,Semi-Furnished,60000,3,Apartment, Hyderabad,Gachibowli,3,NorthEast facing
702,2200,Semi-Furnished,50000,3,Apartment, Hyderabad,Kokapet,3,NorthEast facing
703,2650,Semi-Furnished,45000,3,Apartment, Hyderabad,Shaikpet,3,NorthEast facing
704,2650,Furnished,55000,4,Apartment, Hyderabad,Tellapur,4,NorthEast facing
705,1250,Semi-Furnished,30000,4,Apartment, Hyderabad,Tellapur,4,NorthEast facing
706,2100,Semi-Furnished,60000,3,Apartment, Hyderabad,Kokapet,3,NorthEast facing
707,1750,Semi-Furnished,50000,3,Apartment, Hyderabad,Hitech City,3,NorthEast facing
708,3550,Semi-Furnished,85000,4,Apartment, Hyderabad,Kollur,4,NorthEast facing
709,3500,Furnished,90000,3,Apartment, Hyderabad,Tellapur,3,NorthEast facing
710,1850,Semi-Furnished,55000,3,Apartment, Hyderabad,Manikonda,3,NorthEast facing
711,600,Unfurnished,9000,1,Apartment, Hyderabad,Puppalaguda,1,
712,5000,Semi-Furnished,160000,4,Villa, Hyderabad,Gachibowli,4,
713,1200,Unfurnished,12500,2,Apartment, Hyderabad,Meerpet,2,
714,2200,Semi-Furnished,45000,3,Apartment, Hyderabad,Shaikpet,3,
715,2400,Semi-Furnished,60000,3,Apartment, Hyderabad,Narsingi,3,East facing
716,3800,Semi-Furnished,80000,4,Apartment, Hyderabad,Narsingi,4,West facing
717,2800,Semi-Furnished,60000,3,Apartment, Hyderabad,Kokapet,3,East facing
718,2600,Semi-Furnished,55000,3,Apartment, Hyderabad,Nanakramguda,3,East facing
719,2600,Semi-Furnished,55000,4,Apartment, Hyderabad,Tellapur,4,West facing
720,2600,Semi-Furnished,30000,4,Apartment, Hyderabad,Tellapur,4,East facing
721,1350,Semi-Furnished,18000,2,Apartment, Hyderabad,Kondapur,2,NorthEast facing
722,800,Semi-Furnished,16000,1,Apartment, Hyderabad,Kondapur,1,NorthEast facing
723,700,Unfurnished,9000,1,Apartment, Hyderabad,Kondapur,1,NorthEast facing
724,780,Semi-Furnished,14000,1,Apartment, Hyderabad,Kondapur,1,NorthEast facing
725,750,Unfurnished,8000,1,Apartment, Hyderabad,Meerpet,1,
726,150,Semi-Furnished,13000,1,Studio Apartment, Hyderabad,Alwal,1,
727,150,Furnished,14000,1,Studio Apartment, Hyderabad,Alwal,1,
728,1980,Semi-Furnished,40000,3,Villa, Hyderabad,Gopanpally,3,East facing
729,720,Semi-Furnished,13000,1,Apartment, Hyderabad,Kondapur,1,NorthEast facing
730,2500,Semi-Furnished,27000,3,Independent House, Hyderabad,LB Nagar,3,
731,3600,Unfurnished,90000,4,Villa, Hyderabad,Tellapur,6,
732,1993,Furnished,60000,3,Apartment, Hyderabad,Gachibowli,3,NorthEast facing
733,4800,Furnished,150000,4,Villa, Hyderabad,Kokapet,4,NorthEast facing
734,4600,Furnished,150000,3,Villa, Hyderabad,Kismatpur,4,East facing
735,4300,Furnished,275000,4,Apartment, Hyderabad,Banjara Hills,4,NorthEast facing
736,1400,Semi-Furnished,23000,2,Apartment, Hyderabad,Kondapur,2,NorthEast facing
737,6000,Semi-Furnished,300000,4,Villa, Hyderabad,Nanakramguda,5,East facing
738,4000,Semi-Furnished,130000,4,Villa, Hyderabad,Gopanpally,4,West facing
739,1350,Semi-Furnished,24500,2,Apartment, Hyderabad,Bandlaguda Jagir,3,
